1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
4.000000 0.000000 0.000000
0.000000 4.000000 0.000000
0.000000 0.000000 5.000000
4.000000 4.000000 5.000000 Nb
1.000000 4.000000 5.000000 Mo
2.000000 4.000000 5.000000 W
3.000000 4.000000 5.000000 Ta
4.000000 4.000000 1.000000 Nb
4.000000 1.000000 5.000000 Ta
0.500000 0.500000 0.500000 Mo
1.000000 4.000000 1.000000 Ta
1.000000 1.000000 5.000000 Nb
1.500000 0.500000 0.500000 W
2.000000 4.000000 1.000000 Nb
2.000000 1.000000 5.000000 Ta
2.500000 0.500000 0.500000 Mo
3.000000 4.000000 1.000000 Nb
3.000000 1.000000 5.000000 Ta
3.500000 0.500000 0.500000 Ta
4.000000 4.000000 2.000000 Ta
4.000000 1.000000 1.000000 W
0.500000 0.500000 1.500000 Mo
1.000000 4.000000 2.000000 Mo
4.000000 2.000000 5.000000 Mo
0.500000 1.500000 0.500000 W
1.000000 1.000000 1.000000 Nb
1.500000 0.500000 1.500000 Nb
2.000000 4.000000 2.000000 W
1.000000 2.000000 5.000000 Nb
1.500000 1.500000 0.500000 W
2.000000 1.000000 1.000000 Mo
2.500000 0.500000 1.500000 W
3.000000 4.000000 2.000000 W
2.000000 2.000000 5.000000 W
2.500000 1.500000 0.500000 Mo
3.000000 1.000000 1.000000 Ta
3.500000 0.500000 1.500000 W
3.000000 2.000000 5.000000 W
3.500000 1.500000 0.500000 W
4.000000 4.000000 3.000000 Ta
4.000000 1.000000 2.000000 Mo
0.500000 0.500000 2.500000 W
1.000000 4.000000 3.000000 Nb
4.000000 2.000000 1.000000 W
0.500000 1.500000 1.500000 Mo
1.000000 1.000000 2.000000 Ta
1.500000 0.500000 2.500000 Nb
2.000000 4.000000 3.000000 W
4.000000 3.000000 5.000000 Nb
0.500000 2.500000 0.500000 Nb
1.000000 2.000000 1.000000 Ta
1.500000 1.500000 1.500000 Nb
2.000000 1.000000 2.000000 Ta
2.500000 0.500000 2.500000 Ta
3.000000 4.000000 3.000000 Nb
1.000000 3.000000 5.000000 Ta
1.500000 2.500000 0.500000 Nb
2.000000 2.000000 1.000000 Mo
2.500000 1.500000 1.500000 Nb
3.000000 1.000000 2.000000 Nb
3.500000 0.500000 2.500000 W
2.000000 3.000000 5.000000 Ta
2.500000 2.500000 0.500000 Mo
3.000000 2.000000 1.000000 Nb
3.500000 1.500000 1.500000 Nb
3.000000 3.000000 5.000000 Ta
3.500000 2.500000 0.500000 Mo
4.000000 4.000000 4.000000 Mo
4.000000 1.000000 3.000000 W
0.500000 0.500000 3.500000 Ta
1.000000 4.000000 4.000000 W
4.000000 2.000000 2.000000 Nb
0.500000 1.500000 2.500000 Nb
1.000000 1.000000 3.000000 Mo
1.500000 0.500000 3.500000 Nb
2.000000 4.000000 4.000000 Mo
4.000000 3.000000 1.000000 Nb
0.500000 2.500000 1.500000 Ta
1.000000 2.000000 2.000000 Nb
1.500000 1.500000 2.500000 Mo
2.000000 1.000000 3.000000 Ta
2.500000 0.500000 3.500000 Nb
3.000000 4.000000 4.000000 Nb
0.500000 3.500000 0.500000 Nb
1.000000 3.000000 1.000000 W
1.500000 2.500000 1.500000 Ta
2.000000 2.000000 2.000000 Nb
2.500000 1.500000 2.500000 Ta
3.000000 1.000000 3.000000 Nb
3.500000 0.500000 3.500000 Nb
1.500000 3.500000 0.500000 Ta
2.000000 3.000000 1.000000 Mo
2.500000 2.500000 1.500000 Nb
3.000000 2.000000 2.000000 W
3.500000 1.500000 2.500000 Mo
2.500000 3.500000 0.500000 Mo
3.000000 3.000000 1.000000 Mo
3.500000 2.500000 1.500000 W
3.500000 3.500000 0.500000 Ta
4.000000 1.000000 4.000000 Mo
0.500000 0.500000 4.500000 Mo
4.000000 2.000000 3.000000 W
0.500000 1.500000 3.500000 Mo
1.000000 1.000000 4.000000 Ta
1.500000 0.500000 4.500000 Ta
4.000000 3.000000 2.000000 Nb
0.500000 2.500000 2.500000 Mo
1.000000 2.000000 3.000000 Ta
1.500000 1.500000 3.500000 Mo
2.000000 1.000000 4.000000 Ta
2.500000 0.500000 4.500000 Mo
0.500000 3.500000 1.500000 Nb
1.000000 3.000000 2.000000 Nb
1.500000 2.500000 2.500000 W
2.000000 2.000000 3.000000 Ta
2.500000 1.500000 3.500000 Ta
3.000000 1.000000 4.000000 W
3.500000 0.500000 4.500000 W
1.500000 3.500000 1.500000 Ta
2.000000 3.000000 2.000000 Ta
2.500000 2.500000 2.500000 Ta
3.000000 2.000000 3.000000 W
3.500000 1.500000 3.500000 Ta
2.500000 3.500000 1.500000 Mo
3.000000 3.000000 2.000000 Mo
3.500000 2.500000 2.500000 Mo
3.500000 3.500000 1.500000 W
4.000000 2.000000 4.000000 Ta
0.500000 1.500000 4.500000 Ta
4.000000 3.000000 3.000000 W
0.500000 2.500000 3.500000 W
1.000000 2.000000 4.000000 Nb
1.500000 1.500000 4.500000 Nb
0.500000 3.500000 2.500000 Ta
1.000000 3.000000 3.000000 W
1.500000 2.500000 3.500000 Nb
2.000000 2.000000 4.000000 Mo
2.500000 1.500000 4.500000 W
1.500000 3.500000 2.500000 W
2.000000 3.000000 3.000000 Mo
2.500000 2.500000 3.500000 Mo
3.000000 2.000000 4.000000 Ta
3.500000 1.500000 4.500000 Nb
2.500000 3.500000 2.500000 W
3.000000 3.000000 3.000000 Nb
3.500000 2.500000 3.500000 W
3.500000 3.500000 2.500000 Mo
4.000000 3.000000 4.000000 Nb
0.500000 2.500000 4.500000 W
0.500000 3.500000 3.500000 Ta
1.000000 3.000000 4.000000 W
1.500000 2.500000 4.500000 Mo
1.500000 3.500000 3.500000 Mo
2.000000 3.000000 4.000000 W
2.500000 2.500000 4.500000 Mo
2.500000 3.500000 3.500000 W
3.000000 3.000000 4.000000 Mo
3.500000 2.500000 4.500000 Mo
3.500000 3.500000 3.500000 W
0.500000 3.500000 4.500000 Ta
1.500000 3.500000 4.500000 Mo
2.500000 3.500000 4.500000 W
3.500000 3.500000 4.500000 Ta
